vertex_id,part_hint,mds0_norm,mds1_norm,mds2_norm,atlas_u_norm,atlas_v_norm
12612,right_hand,0.96291351,0.57468414,0.77138984,0.96291351,0.42531586
12613,right_hand,0.96661395,0.57284278,0.74968964,0.96661395,0.42715722
12614,right_hand,0.95855033,0.57713294,0.79635096,0.95855033,0.42286706
12615,right_hand,0.96086442,0.57666111,0.79855925,0.96086442,0.42333889
12616,right_hand,0.96110833,0.57566637,0.78759766,0.96110833,0.42433363
12617,right_hand,0.96447331,0.57376653,0.77285469,0.96447331,0.42623347
12618,right_hand,0.96594363,0.57311392,0.77297843,0.96594363,0.42688608
12619,right_hand,0.97471809,0.58891815,0.72517043,0.97471809,0.41108185
12620,right_hand,0.97545564,0.58797640,0.72804838,0.97545564,0.41202360
12621,right_hand,0.97616124,0.58800179,0.73605096,0.97616124,0.41199821
12622,right_hand,0.97595024,0.58520442,0.71354508,0.97595024,0.41479558
12623,right_hand,0.97564316,0.58697277,0.71753895,0.97564316,0.41302723
12624,right_hand,0.97657484,0.58657146,0.73032939,0.97657484,0.41342854
12625,right_lower_arm,0.93737286,0.62792057,0.64125335,0.93737286,0.37207943
12626,right_lower_arm,0.93879795,0.62681419,0.65142912,0.93879795,0.37318581
12627,right_hand,0.95499545,0.60359514,0.63969088,0.95499545,0.39640486
12628,right_lower_arm,0.93870652,0.62693858,0.64563191,0.93870652,0.37306142
12629,right_lower_arm,0.92668182,0.63195509,0.65655863,0.92668182,0.36804491
12630,right_lower_arm,0.92227381,0.63271707,0.65941334,0.92227381,0.36728293
12631,right_lower_arm,0.91888237,0.63483411,0.64884746,0.91888237,0.36516589
12632,right_lower_arm,0.92028302,0.63459873,0.64809275,0.92028302,0.36540127
12633,right_lower_arm,0.92764413,0.62956494,0.67809099,0.92764413,0.37043506
12634,right_lower_arm,0.92457658,0.63199466,0.66062337,0.92457658,0.36800534
12635,right_hand,0.95862281,0.57734722,0.69635636,0.95862281,0.42265278
12636,right_lower_arm,0.92623663,0.63032448,0.67257285,0.92623663,0.36967552
12637,right_lower_arm,0.92764241,0.63459259,0.62229210,0.92764241,0.36540741
12638,right_lower_arm,0.92494804,0.63673389,0.61150610,0.92494804,0.36326611
12639,right_lower_arm,0.92825437,0.63510752,0.61113513,0.92825437,0.36489248
12640,right_lower_arm,0.93099314,0.63316077,0.61608779,0.93099314,0.36683923
12641,right_lower_arm,0.93515277,0.62950408,0.63713282,0.93515277,0.37049592
12642,right_lower_arm,0.93527204,0.62964785,0.63107949,0.93527204,0.37035215
12643,right_lower_arm,0.93057394,0.63305795,0.62113595,0.93057394,0.36694205
12644,right_lower_arm,0.93008220,0.63258773,0.63211411,0.93008220,0.36741227
12645,right_lower_arm,0.93485934,0.62932700,0.64663911,0.93485934,0.37067300
12646,right_lower_arm,0.93494958,0.62944812,0.64198017,0.93494958,0.37055188
12647,right_lower_arm,0.93025076,0.63291830,0.62590218,0.93025076,0.36708170
12648,right_lower_arm,0.93309802,0.63099700,0.63140547,0.93309802,0.36900300
12649,right_lower_arm,0.93358618,0.62855440,0.67280924,0.93358618,0.37144560
12650,right_hand,0.97256088,0.58628190,0.69688368,0.97256088,0.41371810
12651,right_lower_arm,0.93070000,0.63086069,0.65385193,0.93070000,0.36913931
12652,right_lower_arm,0.93252748,0.62931299,0.66702145,0.93252748,0.37068701
12653,right_lower_arm,0.93382806,0.62866759,0.66944408,0.93382806,0.37133241
12654,right_lower_arm,0.93563116,0.62744063,0.67912728,0.93563116,0.37255937
12655,right_lower_arm,0.93504035,0.62804961,0.67187631,0.93504035,0.37195039
12656,right_hand,0.97371387,0.58644110,0.70289767,0.97371387,0.41355890
12657,right_hand,0.97382224,0.58748305,0.70435309,0.97382224,0.41251695
12658,right_hand,0.97488880,0.58644652,0.70917028,0.97488880,0.41355348
12659,right_hand,0.97153729,0.58745366,0.69267833,0.97153729,0.41254634
12660,right_hand,0.97099501,0.58882576,0.69120961,0.97099501,0.41117424
12661,right_lower_arm,0.92024922,0.64394230,0.52704740,0.92024922,0.35605770
12662,right_lower_arm,0.91937745,0.64032513,0.50479692,0.91937745,0.35967487
12663,right_lower_arm,0.92102814,0.64245009,0.52301961,0.92102814,0.35754991
12664,right_lower_arm,0.91808242,0.64641660,0.53290713,0.91808242,0.35358340
12665,right_lower_arm,0.91757584,0.64636636,0.51430476,0.91757584,0.35363364
